11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,
11,,,,5,1,4,,,,,,,,3,11,,,,,,,,,,,,,,,,
11,,,,,1,,,,10,10,10,10,10,10,11,,,,,,,,,,,,,,,,
12,,,,2,1,6,9,9,,,,6,5,1,11,,,,,,,,,,,,,,,,
11,1,1,,,1,,,1,1,1,1,1,1,1,11,,,,,,,,,,,,,,,,
11,6,3,,,,,,,,,,,1,5,11,,,,,,,,,,,,,,,,
11,5,1,9,9,9,9,,,,,,,1,,11,,,,,,,,,,,,,,,,
11,,1,9,9,9,9,,,,7,,,,3,11,,,,,,,,,,,,,,,,
11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
