1,12,11,11,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
1,2,-1,-1,6,-1,-1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
1,-1,6,-1,-1,-1,-1,7,1,12,-1,-1,-1,-1,4,1,,,,,,,,,,,,,,,,
1,-1,-1,-1,-1,-1,5,-1,1,11,-1,-1,-1,-1,7,1,,,,,,,,,,,,,,,,
1,7,-1,7,-1,7,-1,-1,1,1,-1,6,-1,-1,-1,1,,,,,,,,,,,,,,,,
12,5,7,6,-1,-1,6,-1,1,1,-1,-1,7,-1,-1,1,,,,,,,,,,,,,,,,
11,7,-1,-1,-1,6,-1,-1,1,1,6,6,-1,-1,5,1,,,,,,,,,,,,,,,,
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,,,,,,,,,,,,
1,1,1,11,12,11,1,1,1,1,12,11,11,11,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
